grant_id,title,abstract,funder,status,amount_gbp,start_date,end_date,source_url
00082994-6774-4061-A06F-00EC3C928876,Quantum Algorithms for Nonlinear Differential Equations - QuANDiE,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",Research Grant,Closed,0,,,https://gtr.ukri.org/projects?ref=00082994-6774-4061-A06F-00EC3C928876
03E282E3-DFF0-4794-ADE0-00B1A7BA0ED8,Wittos - Mobile Internet Analytics &amp; Predictive Content Over WiFi,"The increasing availability and uptake of smart mobile devices offering broadband
connectivity has raised demand for a smarter in-store experience, specifically a means for
bricks and mortar retailers to connect to and engage with their customers. Whilst analytics of
traditional Internet user behaviour has matured, and a myriad of solutions offering insight and
engagement have evolved, no comparable solutions exist to offer retailers insight into a
customer's online behaviour whilst within their premises.
Wittos has developed a breakthrough new solution that offers real-time actionable intelligence
and awareness of the customer's in-store intentions. This technology forms the core of the
Wittos platform which builds upon a traditional Wireless hotspot offering Internet
connectivity. Wittos combines data gathered from the user's online activity, their physical
location and path through a venue and uses this to match their actions to a behavioural profile
(companion or shopper). This profile can then be matched with products of interest (their
online focus) and acted upon to serve the most relevant content to user or improving their instore
experience by providing real-time intelligence to staff on the floor. This reactive
intelligence offers the retailer a means to increase the customer’s dwell time and increase the
chance that an in-store customer transacts.
This technology will offer traditional retailers a competitive advantage as relevant alternatives
to their purely electronic competitors, a greatly improved in-store customer experience and the
ability to match demand and supply in real-time.",GRD Proof of Concept,Closed,0,,,https://gtr.ukri.org/projects?ref=03E282E3-DFF0-4794-ADE0-00B1A7BA0ED8
07828D21-A20E-4368-9D88-015A30686E6F,Role of avian dendritic cells,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",Institute Project,Closed,0,,,https://gtr.ukri.org/projects?ref=07828D21-A20E-4368-9D88-015A30686E6F
007662E8-5AFF-497A-A1FD-00246571593F,Probing the structure and function of a super-rogue photosystem II complex involved in chlorophyll f synthesis,"There is an urgent need to develop new strategies to improve crop yield to feed the ever-growing global population. Crop plants grow because they use the energy of sunlight to drive the conversion of atmospheric carbon dioxide into biomass. This process of photosynthesis is relatively inefficient with much less than 1% of the incident solar energy converted into stored chemical energy. One straightforward way to improve photosynthetic efficiency is to capture more of the sunlight in the first place. Plants rely on chlorophyll pigments (as well as some accessory pigments) to absorb light to drive photosynthesis. The chemical nature of the chlorophyll pigments found in plants necessarily means that photosynthesis is restricted to the visible region of the solar spectrum. In recent years, however, several strains of cyanobacteria, which perform plant-like photosynthesis, have been discovered that make modified forms of chlorophyll that absorb light in the far-red region of the spectrum. If these far-red chlorophylls could be made in plants and assembled correctly in the photosynthetic apparatus, the number of photons of light that could be used to drive photosynthesis could be increased by up to 19%, a considerable increase in efficiency. One of the far-red absorbing chlorophylls is chlorophyll f (Chl f). In order to make Chl f in plants, an important first step is to identify and characterise the cyanobacterial enzyme that synthesises Chl f. In a recent breakthrough, Don Bryant and colleagues in the USA showed that Chl f synthesis was dependent on the ChlF protein subunit which, somewhat surprisingly, was found to be related to one of the proteins present in the well-studied photosystem II complex which catalyses the light-driven oxidation of water to oxygen characteristic of plant photosynthesis. In follow-up work, we have discovered that ChlF does not act alone, as was originally thought, but is part of a new type of PSII complex, which we term the super-rogue PSII complex. The super-rogue PSII complex shows clear similarities to regular PSII but has evolved to make Chl f rather than split water into oxygen. Chl f is made from the Chl a pigment through an oxidation reaction involving molecular oxygen; but the chemistry involved in this process is currently unknown. In this application, we propose to study the structure and mechanism of the newly identified super-rogue PSII complex in unprecedented detail. We aim to investigate whether the super-rogue complex is photochemically active and will test the hypothesis that the super-rogue PSII complex activates molecular oxygen into a reactive form that oxidises a Chl a molecule bound to a specific site in the super-rogue PSII complex. The project involves a team of scientists with skills in microbiology, molecular biology, biochemistry and spectroscopy. Our experimental approaches are diverse and involve working on biochemically pure protein complexes as well studying cyanobacterial mutants expressing Chl f. Ultimately our studies will provide important new knowledge on a new type of photosystem II complex that will underpin future work producing Chl f in crop plants.",Research Grant,Closed,0,,,https://gtr.ukri.org/projects?ref=007662E8-5AFF-497A-A1FD-00246571593F
07832667-2BC4-4857-A4FF-019CD66E6D4F,A CELL ATLAS OF THE DEVELOPING HUMAN SENSORY NERVOUS SYSTEM: INVESTIGATING DEVELOPMENT TO UNDERSTAND DISEASE,"Context of the research:
Pain is the main reason that diseases of the muscles and joints lead to disability. In particular, for the tens of millions of individuals who suffer from Osteoarthritis (OA) , pain can be debilitating at end stages and be present even at rest, preventing the use of joints in the hand, hip and knees. Around the world, this tremendous societal and monetary burden is set to rise alongside an aging population. Currently, there is no cure for osteoarthritis and end stage disease is treated with joint replacement, a costly and major operation. Importantly, we lack effective pain-relief medications for OA.

Until recently, it was thought that wear-and-tear of the protective lining of the joint, and increased bone-to-bone contact is what leads to pain in disease. Interestingly, recent studies from various research groups have shown that new nerves sprout into the joint surface as part of the disease process of OA. These nerves appear to be present in individuals with painful OA, but is absent in those with less painful OA. In adulthood, nerves normally have limited capacity to grow, so this leads us to think that disease nerves are driven by processes similar to those that are active when we our nervous system begins to develop while an embryo in the womb. 

The objective of this project is therefore to apply cutting edge technology to investigate the development of the human sensory nervous, comparing it to what happens in disease, with the aim of identifying novel ways of interfering with it, in order to treat pain.

Aims and objectives:
First, we aim to understand how the sensory nervous system forms in the developing human. To achieve this, we will use single-cell sequencing technologies. This will allow us to detect what drives different types of developing nerves, one by one. We aim to form a classification system for these nerves, sorting them by their function, for example, some nerves may sense touch and others may sense pain, and they might be driven by different signals to grow.
Secondly, we will map the distribution of these developing nerves in space, using a type of technology known as spatial transcriptomics. This will form an atlas of the nerves throughout the body and allow us to understand how nerves are queued to grow towards their destination during development. 

Then, we will map nerves in the diseased human osteoarthritic knee joint in adulthood. We will apply innovative technologies to first identify areas where nerves are present, and then sequence the genes activated within these areas. This will allow us to understand whether nerves growing in disease are similar or different to nerves that grow during development.Lastly, we will use computational programs to compare developmental nerves to disease-nerves. This will allow us to decide how to target the disease-nerves.

Potential applications and benefits:
We will be the first group to perform single-cell sequencing on the developing nervous system in human. This will allow discovery of new cell-types, and create an atlas for them throughout the human body. 
These findings will further our understanding of all painful conditions. In the case of osteoarthritis, it may allow us to identify targets that can be exploited to allow depletion of the pain-associated nerves described above. We aim to disseminate our findings to allow public access by the research community. This will lead to improved understanding of other diseases, such as in cancer, where nerves can also sprout during the disease process.

In the long term, our findings can also be applied to help improve models of nerves grown in the laboratory, and potentially also inform ways of promoting nerves to regenerate in the body.",Fellowship,Closed,0,,,https://gtr.ukri.org/projects?ref=07832667-2BC4-4857-A4FF-019CD66E6D4F
03E55638-AD33-4353-BE3E-00A85A5C6DF8,Post-Translational Modifications Orchestrate Organ Symmetry,"A major challenge during morphogenesis includes the establishment of symmetry types, such as radial and bilateral symmetry: a developmental commitment which greatly impacts on organ function. In humans, defects in organ-symmetry establishment leads to malformation and diseases, but despite its importance, our knowledge about symmetry foundation in multicellular organisms is very limited. Less intuitively, organ symmetry establishment is fundamental for plant survival too.

Therefore, the aim of this project is to shed light on a new mechanism regulating radial and bilateral symmetry establishment during plant organogenesis, using A.thaliana as a model; investigating how a specific post-translational modifications underpins direct protein interactions between key regulators of plant organ symmetry, which in turn switches on and off gene expression, precisely and quickly, during organ development.",Studentship,Closed,0,,,https://gtr.ukri.org/projects?ref=03E55638-AD33-4353-BE3E-00A85A5C6DF8
0096EA78-5A08-49FA-9F1F-003344C4FA97,Investigating the Regulation and Replication of R-loops at Telomeres,"Eukaryotic chromosomes are capped at each end by specialised nucleoprotein structures called telomeres, which are mutated or altered in essentially all incidences of cancer. Telomeres are transcribed into a non-coding RNA called TERRA, which forms a three-stranded R-loop structure in which the RNA remains bound to the template. R-loops are particularly prevalent at telomeres in ALT-type cancer cells, where they are thought to prevent efficient replication of the chromosome end. This project will identify novel R-loop regulating factors at telomeres and examine how TERRA-based R-loops regulate and influence the telomere replication process.",Studentship,Active,0,,,https://gtr.ukri.org/projects?ref=0096EA78-5A08-49FA-9F1F-003344C4FA97
040C2814-53E6-488F-BDA9-01B1A0F63777,Random metrics on the CLE carpet,"Conformal loop ensembles (CLE) are random collections of loops defined in simply connected domains. They exhibit a fractal structure and arise as conjectured and proved scaling limits of a number of lattice models from Statistical Physics.
Since their introduction, connections between CLE, Schramm-Loewner evolution (SLE) curves, and the Gaussian Free Field (GFF) have been shown and categorized. In this project we consider natural random metrics defined on the set of points not surrounded by CLE loops (the CLE carpet) and investigate their properties. A first goal is to build on the relationship between CLE, SLE, and the GFF to show that geodesics in a natural CLE metric are singular with respect to SLE. This disproves a conjecture from 2014 that was based on empirical results.",Studentship,Closed,0,,,https://gtr.ukri.org/projects?ref=040C2814-53E6-488F-BDA9-01B1A0F63777
045FB772-28BF-4EE1-B494-005C814D548E,Cuba: Application of 'omics in the metabolic study of high cell density continuous cell cultures of recombinant NS0 myeloma cell lines,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",Research Grant,Closed,0,,,https://gtr.ukri.org/projects?ref=045FB772-28BF-4EE1-B494-005C814D548E
048A023D-A750-4833-A8EB-01CBEB81050C,The evolution of parasitic sex ratio distortion,"Host-parasite interactions are pervasive throughout the natural world, forming a critical component of plant and animal communities. Among them, parasites that distort host sex ratios are widespread in invertebrates. The effect of sex ratio distorters can have a powerful effect on biodiversity; they can cause populations to become extinct and change the composition of animals in the community. Additionally as they can affect harmful as well as beneficial hosts, there is currently a great deal of interest in the use of such parasites for biological control. Sex ratio distortion has evolved in diverse parasites (eukaryotes and bacteria) and affects diverse hosts. Why distort sex ratio? These parasites are passed from mother to offspring in the eggs and are only transmitted by females. These parasites have evolved a number of strategies to increase the relative frequency of female hosts (so increasing the spread of the parasite). Feminisation is induced by the bacterium Wolbachia and by microsporidia (eukaryotic parasites) in Crustacea. In contrast Wolbachia causes male killing in insects. Discovering the mechanisms of male killing and feminisation is key to understanding host-parasite coevolution. We propose that these intracellular parasites are most likely to act by secreting molecules into the host cell which will then influence host molecular pathways, they may modify the response to external hormonal signals or even induce programmed cell death (apoptosis). Such changes could disrupt patterns of sexual development or lead to sex-specific embryo mortality. AIMS: We will investigate the evolution of sex ratio distortion in distantly related parasites by testing the hypotheses that - Similar mechanisms lead to contrasting strategies of sexual manipulation by Wolbachia (male killing in insect hosts, feminisation in crustacean hosts) - Parallel mechanisms of feminisation have evolved in distantly related parasites (Wolbachia and microsporidia) OBJECTIVES I. WE WILL INVESTIGATE THE MOLECULAR BASIS OF WOLBACHIA INDUCED MALE KILLING AND FEMINISATION. We will use state of the art techniques (proteomics) to identify molecules secreted into the host cytoplasm that cause feminisation or male killing, and to follow the changes they induce in the host. We will study this initially in the Drosophila (fruit fly)/Wolbachia male killing system. The genome of both these organisms is known and will help us to identify proteins and their function. We will then go on to study feminising Wolbachia in the crustacean Armadillidium vulgare (woodlouse). II. WE WILL INVESTIGATE THE CELLULAR BASIS OF WOLBACHIA AND MICROSPORIDIA INDUCED FEMINISATION BY TESTING FOR MANIPULATION OF THE PATTERN OF CELL DEATH IN THE DEVELOPING HOST Parasites cause feminisation in Crustacea by inhibiting development of the androgenic gland (the gland that controls male sexual differentiation). To pinpoint the site of action, we will map the distribution of feminising microsporidia and Wolbachia during sexual differentiation of their crustacean hosts. We have recently observed an association between male killing in Drosophila bifasciata by Wolbachia and apoptosis (programmed cell death). We will test whether feminising parasites also induce apoptosis in the androgenic gland in order to feminise the host.",Research Grant,Closed,0,,,https://gtr.ukri.org/projects?ref=048A023D-A750-4833-A8EB-01CBEB81050C
