pair_id,researcher_id,researcher_name,researcher_domain,researcher_keywords,researcher_source,grant_id,grant_title,grant_abstract,grant_funder,grant_amount_gbp,grant_domain,grant_source,overlap_score,label
PAIR_0291,01103B71-79AE-4060-AFAD-291F3A9F8ECE,Yonghong Peng,Data Science & Statistics,"data science, statistical, big data, analytics, regression, bayesian",https://gtr.ukri.org/person/01103B71-79AE-4060-AFAD-291F3A9F8ECE,BD7CBF0C-C9A7-47FA-9AE4-00AA076FF470,Lakto – the novel milk filter that ‘fills and eliminates’ lactose,"A project to create a new, easy and low-cost way to produce lactose free milk at home, improving access to dairy milk and the nutritional content within for people that suffer from lactose Intolerance, and reducing food wastage from spoilt milk in households that currently purchase several milk types due to dietary requirements.",Feasibility Studies,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=BD7CBF0C-C9A7-47FA-9AE4-00AA076FF470,0.0,Bad Fit
PAIR_0100,00DD045C-4D5B-4C92-9996-2E487F5AFD95,David Littlewood,Cybersecurity & Computing,"cybersecurity, security, encryption, network, privacy, blockchain",https://gtr.ukri.org/person/00DD045C-4D5B-4C92-9996-2E487F5AFD95,07EA8DEB-ED66-4495-944A-01F7A59DFFB6,REPOXYBLE: Depolymerizable bio-based multifunctional closed loop recyclable epoxy systems for energy efficient structures,"Materials, especially advanced materials, are the backbone and source of prosperity of an industrial society” (Materials 2030 Manifesto). The Green Deal and the Digital Decade establish high-priority policies for Europe, where 70% of all technical innovations are directly or indirectly attributed to advanced materials. Lightweight and high-strength materials have consistently played a key role in ",EU-Funded,0,Engineering & Physics,https://gtr.ukri.org/projects?ref=07EA8DEB-ED66-4495-944A-01F7A59DFFB6,0.0667,Good Fit
PAIR_0217,0174F950-DD73-4DE1-B2DC-6F7E227CA073,Patrick Baker,Climate & Environment,"climate, carbon, greenhouse, sustainability, renewable, net zero",https://gtr.ukri.org/person/0174F950-DD73-4DE1-B2DC-6F7E227CA073,B10C0B15-61A6-4A9A-8D66-00FBF661195B,To observe and document SES-related individual differences in L1 ultimate attainment,"This project seeks to observe and document SES-related individual differences in L1 ultimate attainment, by recording adult native speakers' grammatical competence in online reading and comprehension tasks and exploring the potential relationship between SES-related correlates and lateacquired, syntactically complex constructions. A growing body of research has demonstrated that some native speake",Studentship,0,Social Sciences,https://gtr.ukri.org/projects?ref=B10C0B15-61A6-4A9A-8D66-00FBF661195B,0.0,Bad Fit
PAIR_0025,00CBBEF2-B62B-4720-B01C-CB8B2294324E,Sophia Ananiadou,Data Science & Statistics,"data science, statistical, big data, analytics, regression, bayesian",https://gtr.ukri.org/person/00CBBEF2-B62B-4720-B01C-CB8B2294324E,B1DC0121-F76E-4643-BF9E-0080812885A4,Intelligent engineering of multicomponent drug crystals,"Only one in five thousand drug molecules that are developed, reaches the market. One of the main factors for this low statistic is the fact that these drugs cannot be formulated in a way that can be easily dissolved and made readily available in the body to have the therapeutic effect required. For decades, researchers in academia and industry have been trying to improve this physical property of ",Research Grant,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=B1DC0121-F76E-4643-BF9E-0080812885A4,0.1429,Good Fit
PAIR_0202,00617D87-DD49-4D85-9C6D-D69BB8A58B62,Ian Henderson,Engineering & Physics,"engineering, materials, nanotechnology, quantum, photonics, semiconductor",https://gtr.ukri.org/person/00617D87-DD49-4D85-9C6D-D69BB8A58B62,A9CE07E7-C382-47B7-AE82-00FFFCBA693F,Defra / EA Fellowship: Professor Frances Bowen,"This project will fund a fellowship placement for a mid-career researcher to work for 9 months with the better regulation teams at the Department for Environment, Food and Rural Affairs (Defra) and the Environment Agency (EA). 'Better Regulation' is the UK government's approach to developing regulation that achieves the desired outcome while avoiding unintended consequences and limiting costs for ",Research Grant,0,Social Sciences,https://gtr.ukri.org/projects?ref=A9CE07E7-C382-47B7-AE82-00FFFCBA693F,0.0,Bad Fit
PAIR_0138,064994EC-762B-454D-9DCA-D4E5169EE34D,Frederick Livesey,Biomedical & Health,"cancer, diabetes, drug, clinical, biomedical, genomic",https://gtr.ukri.org/person/064994EC-762B-454D-9DCA-D4E5169EE34D,AB91365D-1840-4AF7-A18B-00DC0A31085F,Quantum Hive gravity system,"The Quantum Hive project is a joint initiative between the University of Birmingham (UoB) and Silicon Microgravity (SMG). It aims to deliver an innovative, viable way forward for commercialising the cold atom Quantum sensor developed at the UoB by adopting a hybrid approach with MEMS gravity sensors developed by SMG. Gravity sensors have historically struggled to gain commercial traction but by ad",Collaborative R&D,0,Climate & Environment,https://gtr.ukri.org/projects?ref=AB91365D-1840-4AF7-A18B-00DC0A31085F,0.0,Average Fit
PAIR_0237,00F53268-2492-40BB-9C1B-E3394E229112,Dave Rodger,Artificial Intelligence,"machine learning, deep learning, neural, artificial intelligence, computer vision, natural language",https://gtr.ukri.org/person/00F53268-2492-40BB-9C1B-E3394E229112,CA171124-34B1-4EDC-B1D5-0132D53AA5E5,Scheduling with Resource and Job Patterns,The project will bring together two streams of scheduling research which involve patterns of different types: resource patterns and job patterns. Resource patterns are typical for personnel scheduling problems and for project management; job patterns are usually studied within machine scheduling. In spite of the differences in the nature of two types of patterns and the differences in application ,Research Grant,0,Biomedical & Health,https://gtr.ukri.org/projects?ref=CA171124-34B1-4EDC-B1D5-0132D53AA5E5,0.0,Bad Fit
PAIR_0290,00532642-0CA1-4022-A929-7B2C4F4D1643,Eric James Hill,Engineering & Physics,"engineering, materials, nanotechnology, quantum, photonics, semiconductor",https://gtr.ukri.org/person/00532642-0CA1-4022-A929-7B2C4F4D1643,AFE6BF90-EBC4-439B-865C-01783E672153,Building Japanese research capacity around disability studies and sport to positively impact the lives of people with disabilities - 2020 and beyond,"The aim of this bid is to expand an already existing international collaboration and foster a long term sustainable multi-partner network in order to further develop our understanding in the field of disability studies and sport (DSS). This project will bring together a network of Social Sciences, Arts and Humanities (SSH) researchers across the UK and Japan, including ECRs, who will both strength",Research Grant,0,Social Sciences,https://gtr.ukri.org/projects?ref=AFE6BF90-EBC4-439B-865C-01783E672153,0.0,Bad Fit
PAIR_0061,0003D44F-1FBB-4D63-BDE2-E11D0B191A78,Anjam Khan,Artificial Intelligence,"machine learning, deep learning, neural, artificial intelligence, computer vision, natural language",https://gtr.ukri.org/person/0003D44F-1FBB-4D63-BDE2-E11D0B191A78,A9502E30-331D-429C-B5E0-00E4D3514397,New AI Applications to Large Astronomical Data Sets,"One of the pivotal challenges in astrophysics for the next decade and onward will be deciphering the enormous influx of data from new space and ground-based telescopes, surpassing the complexity of all existing astronomical data several times over. For scientific projects that produce huge data volumes, often referred to as &quot;big science&quot; (e.g., SKA, CERN), AI-driven decisions are increas",Studentship,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=A9502E30-331D-429C-B5E0-00E4D3514397,0.2143,Good Fit
PAIR_0088,00532642-0CA1-4022-A929-7B2C4F4D1643,Eric James Hill,Engineering & Physics,"engineering, materials, nanotechnology, quantum, photonics, semiconductor",https://gtr.ukri.org/person/00532642-0CA1-4022-A929-7B2C4F4D1643,D115C9EC-B542-477B-9F62-00870CF7459D,iSee - Intelligent Vision for Grasping,"Intelligent vision is a key enabler for future robotics technology. Shadow's recent development work on a disruptive universal gripper (launched at Innovate16) has identified a need for better vision to permit the automation of grasping. Building on R&amp;D at the University of Glasgow for over 20 years, the iSee project will establish concrete robot vision benchmarks, based on commercially releva",Research Grant,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=D115C9EC-B542-477B-9F62-00870CF7459D,0.125,Good Fit
